MAKE,MODEL_YR,VEHICLE_TYPE,DRIVE_TRAIN,BODY_FRAME,BLIND_SPOT_DETECTION,ARS,FRNT_COLLISION_WARNING,LANE_DEPARTURE_WARNING,CRASH_IMMINENT_BRAKE,DYNAMIC_BRAKE_SUPPORT,OVERALL_STARS,BACKUP_CAMERA
ACURA,2024,PC,FWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
ACURA,2024,MPV,FWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
ACURA,2024,MPV,AWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
ACURA,2024,MPV,FWD,Not Available,Standard,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
ACURA,2024,PC,AWD,Not Available,Optional,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
ACURA,2024,PC,FWD,Not Available,Optional,Standard,Standard,Standard,Standard,Standard,5.0,Not Available
AUDI,2024,PC,AWD,Not Available,Optional,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
AUDI,2024,PC,AWD,Not Available,Optional,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
AUDI,2024,PC,AWD,Not Available,Optional,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
AUDI,2024,PC,AWD,Not Available,Optional,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
AUDI,2024,MPV,AWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
AUDI,2024,MPV,AWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
AUDI,2024,MPV,AWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
AUDI,2024,MPV,AWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
AUDI,2024,MPV,AWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
AUDI,2024,MPV,AWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
AUDI,2024,MPV,AWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
AUDI,2024,MPV,AWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
AUDI,2024,MPV,AWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
BMW,2024,PC,AWD,Not Available,Not Available,Standard,Not Available,Not Available,Not Available,Not Available,5.0,Not Available
BMW,2024,PC,RWD,Not Available,Not Available,Standard,Not Available,Not Available,Not Available,Not Available,5.0,Not Available
BMW,2024,MPV,AWD,Not Available,Not Available,Standard,Not Available,Not Available,Not Available,Not Available,4.0,Not Available
BMW,2024,MPV,AWD,Not Available,Not Available,Standard,Not Available,Not Available,Not Available,Not Available,5.0,Not Available
BMW,2024,MPV,RWD,Not Available,Not Available,Standard,Not Available,Not Available,Not Available,Not Available,5.0,Not Available
BMW,2024,MPV,AWD,Not Available,Not Available,Standard,Not Available,Not Available,Not Available,Not Available,4.0,Not Available
BUICK,2024,MPV,AWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
BUICK,2024,MPV,FWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,4.0,Not Available
BUICK,2024,MPV,AWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
BUICK,2024,MPV,FWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
CADILLAC,2024,PC,AWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
CADILLAC,2024,PC,RWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
CADILLAC,2024,MPV,4WD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,4.0,Not Available
CADILLAC,2024,MPV,RWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,4.0,Not Available
CADILLAC,2024,MPV,4WD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,4.0,Not Available
CADILLAC,2024,MPV,RWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,4.0,Not Available
CADILLAC,2024,MPV,AWD,Not Available,Optional,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
CADILLAC,2024,MPV,FWD,Not Available,Optional,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
CADILLAC,2024,MPV,AWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
CADILLAC,2024,MPV,FWD,Not Available,Standard,Optional,Standard,Standard,Standard,Standard,5.0,Not Available
